model,normalization,cv_mean,cv_std,loso_mean,loso_std,cv_loso_gap
LightGBM,global_zscore,72.84849113529927,1.4824120808294678,71.56708595387839,9.039779047540076,1.2814051814208796
LightGBM,raw,72.74504175029591,1.4267593299349166,71.48846960167714,8.707547232903776,1.2565721486187726
Stacked,global_zscore,69.7357926766507,2.978637809082577,68.29140461215931,7.762300456017054,1.4443880644913918
Stacked,raw,69.9472042097679,1.667560764951937,66.1949685534591,8.700604295057566,3.752235656308798
LightGBM,per_subject_baseline,75.4737757964078,1.4862912806775177,35.27253668763102,4.094764147720046,40.20123910877679
Stacked,per_subject_baseline,73.5576623694097,1.9989454722069842,35.27253668763101,4.094764147720046,38.28512568177869
