rank,model,loso_accuracy_mean,loso_accuracy_std,loso_balanced_accuracy_mean,loso_balanced_accuracy_std,loso_f1_mean,loso_f1_std,ci_95_lower,ci_95_upper
1,LightGBM,0.808569182389937,0.057644832775246894,0.7447589098532496,0.07685977703366255,0.7975872942051232,0.06762625203389637,0.7242623491156429,0.7652554705908562
2,XGBoost,0.8066037735849055,0.05254242512939105,0.7421383647798743,0.07005656683918808,0.7941997242024602,0.0630216843807214,0.7234560483237815,0.760820681235967
3,RandomForest,0.8062106918238994,0.05030371593111176,0.7418763102725368,0.06713212037560042,0.7928870351647233,0.06287976908478134,0.7239738698046159,0.7597787507404576
