rank,model,accuracy,balanced_accuracy,f1_weighted,acc_no_pain,acc_low_pain,acc_high_pain
1,Medium MLP,0.7132075471698113,0.8005249343832022,0.7129227659841051,1.0,0.6692913385826772,0.7322834645669292
2,Regularized MLP,0.7132075471698113,0.8005249343832022,0.713136404855931,1.0,0.7165354330708661,0.6850393700787402
3,Simple MLP,0.7094339622641509,0.7979002624671917,0.709213109178866,1.0,0.6692913385826772,0.7244094488188977
4,Deep MLP,0.6981132075471698,0.7900262467191602,0.6965894768524615,1.0,0.6141732283464567,0.7559055118110236
