model,model_type,accuracy,balanced_accuracy,rank
Medium MLP,neural_net,0.7132075471698113,0.8005249343832022,1
Regularized MLP,neural_net,0.7132075471698113,0.8005249343832022,2
Simple MLP,neural_net,0.7094339622641509,0.7979002624671917,3
Deep MLP,neural_net,0.6981132075471698,0.7900262467191602,4
LightGBM,ensemble,0.8172888015717092,0.7559055118110236,5
Stacked (RF+XGB+LGB),ensemble,0.7976424361493124,0.7296587926509187,6
XGBoost,ensemble,0.7956777996070727,0.7270341207349081,7
Random Forest,ensemble,0.7956777996070727,0.727034120734908,8
Stacked (RF+XGB),ensemble,0.7858546168958742,0.7139107611548557,9
