model,loso_balanced_acc,loso_std,paper1_loso_baseline,improvement_pct,t_statistic,p_value,cohens_d,ci_lower,ci_upper,n_subjects,significant_p05
LightGBM,0.7562893081761006,0.09028049131917296,0.78,-3.0398322851153075,-1.9120015798163255,0.061392786588966144,-0.2626336152743548,0.7319833889418146,0.7805952274103867,53,False
XGBoost,0.7636268343815513,0.09238944548182203,0.78,-2.0991237972370134,-1.2901738322604062,0.20269825193637947,-0.17721900519113068,0.7387531283663434,0.7885005403967592,53,False
RandomForest,0.771488469601677,0.0906086162506202,0.78,-1.091221845938843,-0.6838739977481856,0.497091100993591,-0.09393731800053524,0.7470942103731578,0.7958827288301963,53,False
