rank,model,accuracy,balanced_accuracy,f1_weighted,acc_no_pain,acc_low_pain,acc_high_pain
1,Simple MLP,0.8231827111984283,0.7637795275590551,0.813455909793266,1.0,0.8740157480314961,0.41732283464566927
2,Deep MLP,0.8192534381139489,0.7585301837270343,0.8190739591224404,1.0,0.6692913385826772,0.6062992125984252
3,Medium MLP,0.8133595284872298,0.7506561679790026,0.8112264778071099,1.0,0.7322834645669292,0.5196850393700787
4,Regularized MLP,0.8113948919449901,0.7480314960629921,0.8090747638348551,1.0,0.7322834645669292,0.5118110236220472
