model,model_type,accuracy,balanced_accuracy,rank
Simple MLP,neural_net,0.8231827111984283,0.7637795275590551,1
Deep MLP,neural_net,0.8192534381139489,0.7585301837270343,2
LightGBM,ensemble,0.8172888015717092,0.7559055118110236,3
Medium MLP,neural_net,0.8133595284872298,0.7506561679790026,4
Regularized MLP,neural_net,0.8113948919449901,0.7480314960629921,5
Stacked (RF+XGB+LGB),ensemble,0.7976424361493124,0.7296587926509187,6
XGBoost,ensemble,0.7956777996070727,0.7270341207349081,7
Random Forest,ensemble,0.7956777996070727,0.727034120734908,8
Stacked (RF+XGB),ensemble,0.7858546168958742,0.7139107611548557,9
