rank,model,accuracy,balanced_accuracy,f1_weighted,acc_no_pain,acc_low_pain,acc_high_pain
1,Stacked (RF+XGB+LGB),0.6226415094339622,0.7375328083989502,0.6226415094339622,1.0,0.6062992125984252,0.6062992125984252
2,Stacked (RF+XGB),0.6188679245283019,0.7349081364829396,0.6185782341177334,1.0,0.6299212598425197,0.5748031496062992
3,XGBoost,0.6,0.7217847769028872,0.5993790362642821,1.0,0.6220472440944882,0.5433070866141733
4,Random Forest,0.6,0.721784776902887,0.5984064737005913,1.0,0.6456692913385826,0.5196850393700787
5,LightGBM,0.569811320754717,0.7007874015748031,0.5676400045147576,1.0,0.6220472440944882,0.48031496062992124
