rank,model,accuracy,balanced_accuracy,f1_weighted,acc_no_pain,acc_low_pain,acc_high_pain
1,LightGBM,0.8172888015717092,0.7559055118110236,0.817263309752436,1.0,0.6220472440944882,0.6456692913385826
2,Stacked (RF+XGB+LGB),0.7976424361493124,0.7296587926509187,0.7974886284550086,1.0,0.6220472440944882,0.5669291338582677
3,XGBoost,0.7956777996070727,0.7270341207349081,0.7952207313653435,1.0,0.6377952755905512,0.5433070866141733
4,Random Forest,0.7956777996070727,0.727034120734908,0.7948638176073748,1.0,0.6535433070866141,0.5275590551181102
5,Stacked (RF+XGB),0.7858546168958742,0.7139107611548557,0.7855854188508454,1.0,0.6062992125984252,0.5354330708661418
